Metric,Model,StN Ratio,value
Specificity,UnGHP,0.1,1
Specificity,UnGHP,0.2,1
Specificity,UnGHP,0.3,1
Specificity,UnGHP,0.4,1
Specificity,UnGHP,0.5,1
Specificity,UnGHP,0.6,1
Specificity,UnGHP,0.7,0.9992761491132827
Specificity,UnGHP,0.8,1
Specificity,UnGHP,0.9,1
Prediction Error,GHP,0.1,3563.185962125336
Prediction Error,GHP,0.2,2350.5471732407573
Prediction Error,GHP,0.3,1040.1511559722792
Prediction Error,GHP,0.4,907.5056496084136
Prediction Error,GHP,0.5,284.42593349444667
Prediction Error,GHP,0.6,315.0512168681833
Prediction Error,GHP,0.7,220.15709546041003
Prediction Error,GHP,0.8,145.6467773396572
Prediction Error,GHP,0.9,52.15587649010368
Prediction Error,LM,0.1,2.766945327930663e-24
Prediction Error,LM,0.2,4.602322351639809e-24
Prediction Error,LM,0.3,4.288483842094376e-24
Prediction Error,LM,0.4,1.7971228770884058e-23
Prediction Error,LM,0.5,1.0312499830572012e-24
Prediction Error,LM,0.6,3.571856694332647e-24
Prediction Error,LM,0.7,3.5329482274925975e-24
Prediction Error,LM,0.8,3.418311143736958e-24
Prediction Error,LM,0.9,1.3395690990831946e-25
Prediction Error,LASSO,0.1,6.486880382569084
Prediction Error,LASSO,0.2,6.191530862110801
Prediction Error,LASSO,0.3,5.764451941695736
Prediction Error,LASSO,0.4,11.923341769538235
Prediction Error,LASSO,0.5,6.383454983744321
Prediction Error,LASSO,0.6,6.085139029063392
Prediction Error,LASSO,0.7,6.388719563739948
Prediction Error,LASSO,0.8,7.3384982461377435
Prediction Error,LASSO,0.9,4.473740484442973
Prediction Error,UnGHP,0.1,3950.927241534565
Prediction Error,UnGHP,0.2,2492.957785772135
Prediction Error,UnGHP,0.3,1348.3809016627745
Prediction Error,UnGHP,0.4,1011.4355845302863
Prediction Error,UnGHP,0.5,366.5166465637058
Prediction Error,UnGHP,0.6,244.99463642019575
Prediction Error,UnGHP,0.7,207.13119882434682
Prediction Error,UnGHP,0.8,167.2713139307712
Prediction Error,UnGHP,0.9,46.142426910997116
