Metric,Model,StN Ratio,value
MSE,GHP,0.1,0.21760891214233183
MSE,GHP,0.25,0.11074523049678149
MSE,GHP,0.5,0.05900301133564717
MSE,GHP,0.75,0.027459818597427375
MSE,GHP,0.9,0.009013752235209121
MSE,UnGHP,0.1,0.10690412426235887
MSE,UnGHP,0.25,0.07894228352461634
MSE,UnGHP,0.5,0.06352185454711134
MSE,UnGHP,0.75,0.04656839935706495
MSE,UnGHP,0.9,0.023204770710347808
SignalMSE,GHP,0.1,1.1548049809348155
SignalMSE,GHP,0.25,1.1194209700527367
SignalMSE,GHP,0.5,0.9713168274930511
SignalMSE,GHP,0.75,0.5361530834493927
SignalMSE,GHP,0.9,0.22315397170842172
SignalMSE,UnGHP,0.1,1.1748959223879818
SignalMSE,UnGHP,0.25,1.0794186373716355
SignalMSE,UnGHP,0.5,1.0145640860038756
SignalMSE,UnGHP,0.75,0.9356604947024267
SignalMSE,UnGHP,0.9,0.48803202988389704
ZeroMSE,GHP,0.1,0.18597360180334505
ZeroMSE,GHP,0.25,0.0766971042670446
ZeroMSE,GHP,0.5,0.028207608258603998
ZeroMSE,GHP,0.75,0.010288737927318844
ZeroMSE,GHP,0.9,0.0017853903964508914
ZeroMSE,UnGHP,0.1,0.07085376820748554
ZeroMSE,UnGHP,0.25,0.045170929808261255
ZeroMSE,UnGHP,0.5,0.03141916318992099
ZeroMSE,UnGHP,0.75,0.016556851834858645
ZeroMSE,UnGHP,0.9,0.007514399092675257
Accuracy,GHP,0.1,0.9673469387755103
Accuracy,GHP,0.25,0.9673469387755103
Accuracy,GHP,0.5,0.9673469387755103
Accuracy,GHP,0.75,0.9673469387755103
Accuracy,GHP,0.9,0.9681632653061224
Accuracy,UnGHP,0.1,0.9673469387755103
Accuracy,UnGHP,0.25,0.9673469387755103
Accuracy,UnGHP,0.5,0.966530612244898
Accuracy,UnGHP,0.75,0.966530612244898
Accuracy,UnGHP,0.9,0.9673469387755103
Sensitivity,GHP,0.1,0
Sensitivity,GHP,0.25,0
Sensitivity,GHP,0.5,0
Sensitivity,GHP,0.75,0
Sensitivity,GHP,0.9,0.025
Sensitivity,UnGHP,0.1,0
Sensitivity,UnGHP,0.25,0
Sensitivity,UnGHP,0.5,0
Sensitivity,UnGHP,0.75,0
Sensitivity,UnGHP,0.9,0
Specificity,GHP,0.1,1
Specificity,GHP,0.25,1
Specificity,GHP,0.5,1
Specificity,GHP,0.75,1
Specificity,GHP,0.9,1
Specificity,UnGHP,0.1,1
Specificity,UnGHP,0.25,1
Specificity,UnGHP,0.5,0.99915611814346
Specificity,UnGHP,0.75,0.99915611814346
Specificity,UnGHP,0.9,1
Prediction Error,GHP,0.1,6596.936877819882
Prediction Error,GHP,0.25,2161.275614441603
Prediction Error,GHP,0.5,706.3632320636747
Prediction Error,GHP,0.75,231.0398161490826
Prediction Error,GHP,0.9,78.03135069158205
Prediction Error,UnGHP,0.1,6760.6396817462955
Prediction Error,UnGHP,0.25,2200.0443476879664
Prediction Error,UnGHP,0.5,699.5769959950467
Prediction Error,UnGHP,0.75,222.44979480765724
Prediction Error,UnGHP,0.9,69.0045565523081
MSE,GroupBoosting,0.1,0.11320022301502806
ZeroMSE,GroupBoosting,0.1,0.07848200484761378
SignalMSE,GroupBoosting,0.1,1.1417274362246763
Accuracy,GroupBoosting,0.1,0.9428571428571428
Sensitivity,GroupBoosting,0.1,0.075
Specificity,GroupBoosting,0.1,0.9721518987341772
MSE,GroupBoosting,0.25,0.07649144979833791
ZeroMSE,GroupBoosting,0.25,0.0441072727798815
SignalMSE,GroupBoosting,0.25,1.0358726939701088
Accuracy,GroupBoosting,0.25,0.9371428571428572
Sensitivity,GroupBoosting,0.25,0.15
Specificity,GroupBoosting,0.25,0.9637130801687763
MSE,GroupBoosting,0.5,0.052410479369360066
ZeroMSE,GroupBoosting,0.5,0.02438860822746606
SignalMSE,GroupBoosting,0.5,0.88255841194797
Accuracy,GroupBoosting,0.5,0.923265306122449
Sensitivity,GroupBoosting,0.5,0.275
Specificity,GroupBoosting,0.5,0.9451476793248945
MSE,GroupBoosting,0.75,0.03720838477448942
ZeroMSE,GroupBoosting,0.75,0.013205601830894026
SignalMSE,GroupBoosting,0.75,0.7482908294785029
Accuracy,GroupBoosting,0.75,0.9126530612244897
Sensitivity,GroupBoosting,0.75,0.475
Specificity,GroupBoosting,0.75,0.9274261603375528
MSE,GroupBoosting,0.9,0.022674092788518473
ZeroMSE,GroupBoosting,0.9,0.0072509072561295585
SignalMSE,GroupBoosting,0.9,0.47958596418554
Accuracy,GroupBoosting,0.9,0.913469387755102
Sensitivity,GroupBoosting,0.9,0.7
Specificity,GroupBoosting,0.9,0.920675105485232
