Metric,Model,StN Ratio,value
MSE,GHP,0.1,0.3807806450048517
MSE,GHP,0.2,0.32731241108234665
MSE,GHP,0.3,0.09125430692660635
MSE,GHP,0.4,0.6637257547829479
MSE,GHP,0.5,0.6609594236383624
MSE,GHP,0.6,0.40303890349003907
MSE,GHP,0.7,0.4857171490915486
MSE,GHP,0.8,0.19525906050597372
MSE,GHP,0.9,0.04143729775478765
MSE,LM,0.1,NA
MSE,LM,0.2,NA
MSE,LM,0.3,NA
MSE,LM,0.4,NA
MSE,LM,0.5,NA
MSE,LM,0.6,NA
MSE,LM,0.7,NA
MSE,LM,0.8,NA
MSE,LM,0.9,NA
MSE,LASSO,0.1,38.97245918420022
MSE,LASSO,0.2,8.362952281754886
MSE,LASSO,0.3,7.610337922541242
MSE,LASSO,0.4,10.69019192085053
MSE,LASSO,0.5,6.100404984338586
MSE,LASSO,0.6,5.149984081245824
MSE,LASSO,0.7,1.9135495059955838
MSE,LASSO,0.8,1.4939665325362228
MSE,LASSO,0.9,0.31513816709309994
MSE,UnGHP,0.1,0.7564518360954048
MSE,UnGHP,0.2,0.40271532102000995
MSE,UnGHP,0.3,0.2530575105879248
MSE,UnGHP,0.4,0.6028364879313735
MSE,UnGHP,0.5,0.6536068704485404
MSE,UnGHP,0.6,0.7013240966875468
MSE,UnGHP,0.7,0.5343843930448474
MSE,UnGHP,0.8,0.34900240311192454
MSE,UnGHP,0.9,0.16103327322809768
Accuracy,GHP,0.1,0.9578947368421052
Accuracy,GHP,0.2,0.9578947368421052
Accuracy,GHP,0.3,0.9578947368421052
Accuracy,GHP,0.4,0.9578947368421052
Accuracy,GHP,0.5,0.9631578947368421
Accuracy,GHP,0.6,0.9578947368421052
Accuracy,GHP,0.7,0.9578947368421052
Accuracy,GHP,0.8,0.968421052631579
Accuracy,GHP,0.9,0.9789473684210527
Accuracy,LM,0.1,0.9578947368421052
Accuracy,LM,0.2,0.9578947368421052
Accuracy,LM,0.3,0.9578947368421052
Accuracy,LM,0.4,0.9578947368421052
Accuracy,LM,0.5,0.9578947368421052
Accuracy,LM,0.6,0.9578947368421052
Accuracy,LM,0.7,0.9578947368421052
Accuracy,LM,0.8,0.9578947368421052
Accuracy,LM,0.9,0.9578947368421052
Accuracy,LASSO,0.1,0.43157894736842106
Accuracy,LASSO,0.2,0.5052631578947369
Accuracy,LASSO,0.3,0.5052631578947369
Accuracy,LASSO,0.4,0.46842105263157896
Accuracy,LASSO,0.5,0.48947368421052634
Accuracy,LASSO,0.6,0.5263157894736842
Accuracy,LASSO,0.7,0.5210526315789473
Accuracy,LASSO,0.8,0.5368421052631579
Accuracy,LASSO,0.9,0.5526315789473685
Accuracy,UnGHP,0.1,0.9578947368421052
Accuracy,UnGHP,0.2,0.9578947368421052
Accuracy,UnGHP,0.3,0.9578947368421052
Accuracy,UnGHP,0.4,0.9578947368421052
Accuracy,UnGHP,0.5,0.9578947368421052
Accuracy,UnGHP,0.6,0.9526315789473684
Accuracy,UnGHP,0.7,0.9578947368421052
Accuracy,UnGHP,0.8,0.9578947368421052
Accuracy,UnGHP,0.9,0.968421052631579
Sensitivity,GHP,0.1,0
Sensitivity,GHP,0.2,0
Sensitivity,GHP,0.3,0
Sensitivity,GHP,0.4,0
Sensitivity,GHP,0.5,0.125
Sensitivity,GHP,0.6,0
Sensitivity,GHP,0.7,0
Sensitivity,GHP,0.8,0.25
Sensitivity,GHP,0.9,0.5
Sensitivity,LM,0.1,0
Sensitivity,LM,0.2,0
Sensitivity,LM,0.3,0
